challenge_id,scheduled_day,injected_at,fixture_commit_sha,fault_target,campaign_id,campaign_opened_at,campaign_confirmed_at,injection_to_confirmed_min,attempts,resolution,ledger_recorded_at
4,2,2026-08-23 18:40:01.800752-04,38e22582c2b06cd5cc922dcf4c0546673396402f,src/ingestion/_db_lock.py,201,2026-08-23 18:41:23.212267-04,2026-08-24 00:29:09.47252-04,349,3,resolved_confirmed,2026-08-24 00:31:40.783265-04
5,3,2026-08-24 17:29:23.490329-04,7c47cb68f42024fa92248ac1d7ca17ea49921560,src/ingestion/_db_lock.py,202,2026-08-24 17:37:51.123366-04,2026-08-24 18:09:10.93022-04,39,1,resolved_confirmed,2026-08-24 18:11:11.945268-04
6,6,2026-08-26 02:21:27.750433-04,a920d5aa9ec4269233642f163be57e218de17629,src/ingestion/_db_lock.py,203,2026-08-26 02:27:32.543342-04,2026-08-26 02:58:57.867506-04,37,1,resolved_confirmed,2026-08-26 03:02:45.042419-04
